[PngImagePlugin.py:190] - 2023-07-06 00:45:19,632 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-07-06 00:45:19,632 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-07-06 00:45:19,632 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-07-06 00:45:19,632 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-07-06 00:45:19,632 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-07-06 00:45:19,632 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-07-06 00:45:19,632 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-07-06 00:45:19,632 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-07-06 00:45:19,632 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-07-06 00:45:19,633 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-07-06 00:45:19,633 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-07-06 00:45:19,633 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-07-06 00:45:19,633 - DEBUG - STREAM b'IDAT' 91 766
[PngImagePlugin.py:190] - 2023-07-06 00:45:19,633 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-07-06 00:45:19,633 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-07-06 00:45:19,633 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-07-06 00:45:19,633 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-07-06 00:45:19,633 - DEBUG - STREAM b'IDAT' 91 601
[PngImagePlugin.py:190] - 2023-07-06 00:45:19,633 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-07-06 00:45:19,633 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-07-06 00:45:19,633 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-07-06 00:45:19,633 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-07-06 00:45:19,633 - DEBUG - STREAM b'IDAT' 91 1063
[admin.py:92] - 2023-07-06 00:46:01,913 - INFO - Process handle <PyHANDLE:1592> returned code 0
[admin.py:29] - 2023-07-06 00:50:49,029 - INFO - isUserAdmin - CheckTokenMembership returned: False
[builder.pyw:603] - 2023-07-06 00:50:49,029 - ERROR - File must be run with admin privileges
[admin.py:70] - 2023-07-06 00:50:49,034 - DEBUG - Defaulting to runAsAdmin command line: ['C:\\Users\\jonga\\AppData\\Local\\Programs\\Python\\Python311\\python.exe', 'C:\\Users\\jonga\\Downloads\\Luna-Grabber-main\\Luna-Grabber-main\\builder.pyw']
[admin.py:80] - 2023-07-06 00:50:49,034 - INFO - Running command 'C:\\Users\\jonga\\AppData\\Local\\Programs\\Python\\Python311\\python.exe' - 'C:\\Users\\jonga\\Downloads\\Luna-Grabber-main\\Luna-Grabber-main\\builder.pyw'
[admin.py:29] - 2023-07-06 00:50:50,698 - INFO - isUserAdmin - CheckTokenMembership returned: True
[PngImagePlugin.py:190] - 2023-07-06 00:50:50,797 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-07-06 00:50:50,797 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-07-06 00:50:50,797 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-07-06 00:50:50,797 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-07-06 00:50:50,797 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-07-06 00:50:50,797 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-07-06 00:50:50,797 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-07-06 00:50:50,797 - DEBUG - STREAM b'sRGB' 41 1
